Ogni coppia di punti rappresenta un segmento, che viene visto viene interpretato dal simulatore come un ostacolo che la macchina non può attraversare

-400,400,4200,400
4200,400,4200,-1000
4200,-1000,6300,-1300
6300,-1300,8300,-1300
8300,-1300,8300,-1400
8300,-1400,8700,-1400
8300,-1900,8700,-1900
8300,-1900,8300,-2400
8300,-2400,8200,-2400
8200,-2400,8200,-3400
7200,-3400,7200,-2400
7200,-2400,3000,-2400
3000,-2400,3000,-400
3000,-400,-400,-400
10000,-3800,10000,-4200
10000,-4200,10200,-4200
10200,-4200,10200,-3800
10200,-3800,10000,-3800
10000,-2900,10900,-2900
10900,-2900,10900,-2400
10900,-2400,10000,-2400
10000,-2400,10000,-2900
0,0,0,0
